Filename,BRISQUE Score
diastole1431.png,9.69
diastole1432.png,4.63
diastole1434.png,-8.39
diastole1433.png,-14.84
diastole1435.png,17.06
diastole1436.png,14.53
diastole1437.png,-4.2
diastole1438.png,14.82
diastole144.png,1.11
diastole1440.png,21.21
diastole1439.png,-3.43
diastole1442.png,16.58
diastole1441.png,7.0
diastole1443.png,-2.57
diastole1444.png,5.68
diastole1445.png,12.97
diastole1446.png,-11.72
diastole1447.png,3.51
diastole1448.png,7.13
diastole1449.png,8.67
diastole145.png,15.49
diastole1450.png,7.39
diastole1451.png,16.21
diastole1452.png,21.14
diastole1454.png,7.09
diastole1453.png,9.04
diastole1456.png,-5.21
diastole1455.png,-3.97
diastole1457.png,7.66
diastole1459.png,-15.52
diastole1458.png,-3.11
diastole146.png,26.76
diastole1461.png,10.94
diastole1460.png,10.64
diastole1462.png,15.21
diastole1464.png,12.96
diastole1463.png,8.4
diastole1465.png,-1.6
diastole1466.png,11.71
diastole1467.png,9.54
diastole1468.png,15.47
diastole1469.png,-2.56
diastole147.png,10.53
diastole1470.png,11.63
diastole1471.png,21.07
diastole1472.png,5.24
diastole1473.png,14.43
diastole1475.png,19.85
diastole1476.png,9.62
diastole1474.png,8.79
diastole1477.png,4.32
diastole1478.png,-0.38
diastole1479.png,-2.73
diastole148.png,4.7
diastole1480.png,0.47
diastole1481.png,7.38
diastole1482.png,-3.26
diastole1484.png,2.83
diastole1483.png,-1.53
diastole1486.png,24.07
diastole1485.png,24.09
diastole1487.png,-4.57
diastole1488.png,6.67
diastole1489.png,-0.19
diastole1490.png,5.07
diastole149.png,22.26
diastole1491.png,6.56
diastole1494.png,-22.49
diastole1496.png,-0.68
diastole1492.png,21.17
diastole1493.png,22.68
diastole1495.png,15.73
diastole1497.png,5.7
diastole1498.png,8.51
diastole1499.png,16.91
diastole15.png,2.7
diastole150.png,29.94
diastole1500.png,5.83
diastole1501.png,-3.61
diastole1503.png,15.07
diastole1502.png,5.03
diastole1504.png,1.67
diastole1505.png,12.32
diastole1507.png,0.05
diastole1506.png,-0.26
diastole1508.png,8.18
diastole1509.png,21.8
diastole151.png,7.73
diastole1510.png,0.33
diastole1511.png,15.0
diastole1512.png,3.13
diastole1514.png,23.36
diastole1513.png,3.02
diastole1515.png,2.04
diastole1517.png,-1.84
diastole1519.png,16.39
diastole1516.png,14.6
diastole1518.png,4.06
diastole152.png,-7.11
diastole1520.png,5.61
diastole1521.png,3.18
diastole1522.png,3.05
diastole1523.png,9.82
diastole1524.png,-9.59
diastole1526.png,-2.1
diastole1525.png,6.63
diastole1528.png,14.92
diastole1529.png,24.7
diastole1527.png,7.97
diastole1530.png,6.5
diastole1531.png,-1.17
diastole153.png,-11.03
diastole1532.png,3.7
diastole1533.png,-4.07
diastole1534.png,10.89
diastole1535.png,3.72
diastole1536.png,28.37
diastole1537.png,4.1
diastole1538.png,15.49
diastole1539.png,3.08
diastole154.png,2.37
diastole1540.png,-3.78
diastole1541.png,-4.07
diastole1542.png,-1.4
diastole1543.png,-4.48
diastole1544.png,19.76
diastole1545.png,-0.58
diastole1546.png,-6.71
diastole1547.png,18.73
diastole1548.png,12.71
diastole155.png,8.15
diastole1549.png,10.51
diastole1550.png,28.92
diastole1551.png,8.18
diastole1552.png,4.39
diastole1553.png,10.4
diastole1554.png,3.08
diastole1557.png,11.84
diastole1556.png,-1.2
diastole1555.png,10.24
diastole1558.png,1.07
diastole1559.png,7.61
diastole156.png,19.23
diastole1560.png,23.85
diastole1561.png,-6.24
diastole1562.png,5.63
diastole1563.png,-8.25
diastole1564.png,1.35
diastole1565.png,6.93
diastole1566.png,9.87
diastole1567.png,8.09
diastole1568.png,16.37
diastole1569.png,14.06
diastole157.png,6.16
diastole1570.png,4.14
diastole1571.png,21.5
diastole1572.png,2.87
diastole1573.png,7.68
diastole1574.png,24.64
diastole1575.png,6.76
diastole1576.png,14.44
diastole1577.png,9.38
diastole1578.png,13.39
diastole1579.png,-1.93
diastole1580.png,-5.26
diastole158.png,4.66
diastole1581.png,8.35
diastole1582.png,4.71
diastole1583.png,-7.52
diastole1584.png,-6.1
diastole1585.png,21.59
diastole1586.png,5.49
diastole1589.png,-0.27
diastole1587.png,1.74
diastole1588.png,-1.47
diastole159.png,0.96
diastole1590.png,4.07
diastole1591.png,1.86
diastole1592.png,6.04
diastole1593.png,9.17
diastole1594.png,2.64
diastole1595.png,-9.99
diastole1596.png,8.72
diastole1597.png,11.2
diastole1599.png,6.72
diastole16.png,4.09
diastole1598.png,-6.02
diastole1600.png,11.19
diastole160.png,2.56
diastole1601.png,-4.05
diastole1602.png,12.15
diastole1604.png,1.44
diastole1605.png,11.19
diastole1603.png,0.83
diastole1606.png,7.84
diastole1607.png,24.19
diastole1609.png,0.08
diastole1608.png,15.55
diastole161.png,10.55
diastole1610.png,-17.65
diastole1611.png,2.2
diastole1614.png,11.77
diastole1612.png,13.41
diastole1613.png,12.92
diastole1615.png,28.29
diastole1616.png,7.75
diastole1617.png,1.19
diastole1618.png,1.14
diastole1619.png,16.57
diastole162.png,-9.47
diastole1620.png,9.05
diastole1621.png,7.9
diastole1622.png,17.98
diastole1623.png,11.59
diastole1624.png,-3.55
diastole1625.png,12.25
diastole1626.png,4.94
diastole1627.png,19.8
diastole1628.png,18.72
diastole1629.png,-7.83
diastole163.png,3.89
diastole1630.png,4.11
diastole1631.png,-5.48
diastole1632.png,7.28
diastole1633.png,-2.85
diastole1634.png,-2.54
diastole1635.png,4.8
diastole1636.png,16.94
diastole1637.png,-4.98
diastole1638.png,-5.33
diastole1639.png,0.45
diastole164.png,13.95
diastole1640.png,14.73
diastole1641.png,18.84
diastole1642.png,18.16
diastole1643.png,-5.21
diastole1644.png,10.84
diastole1645.png,4.49
diastole1646.png,0.22
diastole1647.png,8.32
diastole1648.png,-5.04
diastole1649.png,12.95
diastole1650.png,-3.31
diastole165.png,8.33
diastole1651.png,-21.11
diastole1652.png,-22.49
diastole1653.png,-1.06
diastole1654.png,1.72
diastole1655.png,4.49
diastole1656.png,6.88
